answer_id,question_id,question_order,question_slug,question,author,answer_text,background_text,language,source,source_question,source_note,use_in_background
42,2,2,current_state,Ваше состояние духа в настоящий момент?,Yayoi Kusama,"Feeling the final day of my life approaching, I think about becoming a great person, a great artist, and leaving great artworks in this world. I spend every day trying to make all possible efforts that one person can, and I want to do so until this life expires. This is everything that my art has reached. I will keep my struggle to send the message of Yayoi Kusama to future generations until the end of my life.","Feeling the final day of my life approaching, I think about becoming a great person, a great artist, and leaving great artworks in this world. I spend every day trying to make all possible efforts that one person can, and I want to do so until this life expires. This is everything that my art has reached. I will keep my struggle to send the message of Yayoi Kusama to future generations until the end of my life.",en,Vanity Fair Proust Questionnaire,,,true
43,21,21,greatest_misfortune,Что Вы считаете самым большим несчастьем?,Yayoi Kusama,War. My childhood was a miserable one in the days of war. Art has always been my hope and support.,War. My childhood was a miserable one in the days of war. Art has always been my hope and support.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true
44,9,9,favorite_writers,Ваши любимые писатели?,Yayoi Kusama,Takuboku Ishikawa.,Takuboku Ishikawa.,en,Vanity Fair Proust Questionnaire,Who is your favorite writer?,,true
45,11,11,favorite_literary_hero,Любимый литературный герой?,Yayoi Kusama,I don’t have one.,I don’t have one.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
46,14,14,real_life_heroes,Любимые герои в реальной жизни?,Yayoi Kusama,Myself.,Myself.,en,Vanity Fair Proust Questionnaire,Who are your heroes in real life?,,true
47,17,17,most_hated,Что Вы больше всего ненавидите?,Yayoi Kusama,Solitude.,Solitude.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
48,22,22,desired_death,Как Вы хотели бы умереть?,Yayoi Kusama,I would like to die in a way that my art would inspire the generations after. I would like to live till the end of my life in this world filled with endless love and prayers. I am trying to communicate with people through my work in order that they continue to appreciate my art even after I am gone.,I would like to die in a way that my art would inspire the generations after. I would like to live till the end of my life in this world filled with endless love and prayers. I am trying to communicate with people through my work in order that they continue to appreciate my art even after I am gone.,en,Vanity Fair Proust Questionnaire,,,true
49,1,1,motto,Ваш девиз?,Yayoi Kusama,"The sun, the moon, the earth and stars are also polka dots. They cannot exist alone. Each and every one of us are polka dots. We gather and weave a beautiful pattern of polka dots.","The sun, the moon, the earth and stars are also polka dots. They cannot exist alone. Each and every one of us are polka dots. We gather and weave a beautiful pattern of polka dots.",en,Vanity Fair Proust Questionnaire,,,true
50,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,Cyndi Lauper,"Long walks with my husband. Being with my family. Making music, and writing when songs just fall together. And maybe a cannoli. Just one.","Long walks with my husband. Being with my family. Making music, and writing when songs just fall together. And maybe a cannoli. Just one.",en,Vanity Fair Proust Questionnaire,,,true
51,15,15,favorite_names,Любимые имена?,Cyndi Lauper,"Domenica (that’s my mother’s real name), Sparkle (my old dog), Declyn, David. Now, I can say Cynthia. At first I didn’t like Cynthia until my mother explained why she named me that. It was after the English goddess of the moon. How can you go wrong with that?","Domenica (that’s my mother’s real name), Sparkle (my old dog), Declyn, David. Now, I can say Cynthia. At first I didn’t like Cynthia until my mother explained why she named me that. It was after the English goddess of the moon. How can you go wrong with that?",en,Vanity Fair Proust Questionnaire,,,true
52,2,2,current_state,Ваше состояние духа в настоящий момент?,Cyndi Lauper,Sunny with a chance of rain.,Sunny with a chance of rain.,en,Vanity Fair Proust Questionnaire,,,true
53,21,21,greatest_misfortune,Что Вы считаете самым большим несчастьем?,Cyndi Lauper,Losing my voice.,Losing my voice.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true
54,9,9,favorite_writers,Ваши любимые писатели?,Cyndi Lauper,"The Brontë sisters, and I love Maya Angelou, Alice Walker, Lisa See, Haruki Murakami, Patti Smith, and Charles Dickens.","The Brontë sisters, and I love Maya Angelou, Alice Walker, Lisa See, Haruki Murakami, Patti Smith, and Charles Dickens.",en,Vanity Fair Proust Questionnaire,,,true
55,11,11,favorite_literary_hero,Любимый литературный герой?,Владимир Познер,Д’Артаньян.,Д’Артаньян.,ru,https://pozneronline.ru/2010/07/5758,,,true
56,19,19,main_trait,Ваша самая характерная черта?,Владимир Познер,Терпение.,Терпение.,ru,https://pozneronline.ru/2010/07/5758,,,true
57,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?",Владимир Познер,Умением рисовать.,Умением рисовать.,ru,https://pozneronline.ru/2010/07/5758,Каким бы талантом вы хотели обладать?,,true
58,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,Владимир Познер,"Полностью выразить себя в любви, в детях и в работе.","Полностью выразить себя в любви, в детях и в работе.",ru,https://pozneronline.ru/2010/07/5758,Что для вас предел счастья?,,true
59,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?",Donatella Versace,"To sing. I have been surrounded by the most incredible singers my whole life, from Madonna to Prince, Lady Gaga, J.Lo, Beyoncé. To be able to have their talent for just one second would be incredible.","To sing. I have been surrounded by the most incredible singers my whole life, from Madonna to Prince, Lady Gaga, J.Lo, Beyoncé. To be able to have their talent for just one second would be incredible.",en,Vanity Fair Proust Questionnaire,,,true
60,2,2,current_state,Ваше состояние духа в настоящий момент?,Donatella Versace,"Excited, energized, impatient.","Excited, energized, impatient.",en,Vanity Fair Proust Questionnaire,,,true
61,4,4,favorite_occupation,Какое Ваше любимое занятие?,Donatella Versace,The one I have right now.,The one I have right now.,en,Vanity Fair Proust Questionnaire,,,true
62,19,19,main_trait,Ваша самая характерная черта?,Donatella Versace,That I get what I want.,That I get what I want.,en,Vanity Fair Proust Questionnaire,What is your most marked characteristic?,,true
63,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?",Donatella Versace,Charm and a good body.,Charm and a good body.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a man?,Сведено в объединенный вопрос про качества в человеке.,true
64,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?",Donatella Versace,Strength and power.,Strength and power.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a woman?,Сведено в объединенный вопрос про качества в человеке.,true
65,8,8,friends_qualities,Что Вы больше всего цените в Ваших друзьях?,Donatella Versace,"Love, compassion, concern, humor, intelligence.","Love, compassion, concern, humor, intelligence.",en,Vanity Fair Proust Questionnaire,,,true
66,11,11,favorite_literary_hero,Любимый литературный герой?,Donatella Versace,The Medusa.,The Medusa.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
67,14,14,real_life_heroes,Любимые герои в реальной жизни?,Donatella Versace,Kids on the street. That’s where you find real energy.,Kids on the street. That’s where you find real energy.,en,Vanity Fair Proust Questionnaire,Who are your heroes in real life?,,true
68,15,15,favorite_names,Любимые имена?,Donatella Versace,"Allegra, Daniel.","Allegra, Daniel.",en,Vanity Fair Proust Questionnaire,,,true
69,17,17,most_hated,Что Вы больше всего ненавидите?,Donatella Versace,Intolerance.,Intolerance.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
70,22,22,desired_death,Как Вы хотели бы умереть?,Donatella Versace,Without me knowing it.,Without me knowing it.,en,Vanity Fair Proust Questionnaire,,,true
71,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?",Olivia de Havilland,The gift of coolheadedness or the ability to tap-dance.,The gift of coolheadedness or the ability to tap-dance.,en,Vanity Fair Proust Questionnaire,,,true
72,15,15,favorite_names,Любимые имена?,Olivia de Havilland,Alexandra and Alexis.,Alexandra and Alexis.,en,Vanity Fair Proust Questionnaire,,,true
73,4,4,favorite_occupation,Какое Ваше любимое занятие?,Olivia de Havilland,"Doing cryptic crosswords or, equally, reading tales of mystery and imagination.","Doing cryptic crosswords or, equally, reading tales of mystery and imagination.",en,Vanity Fair Proust Questionnaire,,,true
74,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?",Olivia de Havilland,"Clear-sightedness, humor, fairness, fidelity to purpose.","Clear-sightedness, humor, fairness, fidelity to purpose.",en,Vanity Fair Proust Questionnaire,What is the quality you most like in a man?,Сведено в объединенный вопрос про качества в человеке.,true
75,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?",Olivia de Havilland,Thoughtfulness.,Thoughtfulness.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a woman?,Сведено в объединенный вопрос про качества в человеке.,true
76,17,17,most_hated,Что Вы больше всего ненавидите?,Olivia de Havilland,The deception and exploitation of the naive and defenseless.,The deception and exploitation of the naive and defenseless.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
77,22,22,desired_death,Как Вы хотели бы умереть?,Olivia de Havilland,I would prefer to live forever in perfect health.,I would prefer to live forever in perfect health.,en,Vanity Fair Proust Questionnaire,,Сокращено для фонового использования.,true
78,1,1,motto,Ваш девиз?,Olivia de Havilland,Dominus Fortissima Turris.,Dominus Fortissima Turris.,la,Vanity Fair Proust Questionnaire,,В источнике дан перевод: God is the strongest tower / God is my tower of strength.,true
79,2,2,current_state,Ваше состояние духа в настоящий момент?,Baz Luhrmann,I’m oscillating between the joys of playing hooky from responsibilities and a desperate need to take on new creative responsibilities.,I’m oscillating between the joys of playing hooky from responsibilities and a desperate need to take on new creative responsibilities.,en,Vanity Fair Proust Questionnaire,,,true
80,4,4,favorite_occupation,Какое Ваше любимое занятие?,Baz Luhrmann,"I don’t know, what I do is all I’ve ever done.","I don’t know, what I do is all I’ve ever done.",en,Vanity Fair Proust Questionnaire,,,true
81,19,19,main_trait,Ваша самая характерная черта?,Baz Luhrmann,Storytelling.,Storytelling.,en,Vanity Fair Proust Questionnaire,What is your most marked characteristic?,,true
82,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,Baz Luhrmann,To love and be loved in return.,To love and be loved in return.,en,Vanity Fair Proust Questionnaire,,,true
83,9,9,favorite_writers,Ваши любимые писатели?,Baz Luhrmann,"Huxley, Garcia Marquez, Shakespeare, Tolstoy, Moliere, Fitzgerald, to name but a few.","Huxley, Garcia Marquez, Shakespeare, Tolstoy, Moliere, Fitzgerald, to name but a few.",en,Vanity Fair Proust Questionnaire,,,true
84,8,8,friends_qualities,Что Вы больше всего цените в Ваших друзьях?,Baz Luhrmann,Loyalty.,Loyalty.,en,Vanity Fair Proust Questionnaire,,,true
85,11,11,favorite_literary_hero,Любимый литературный герой?,Baz Luhrmann,I love heroic characters who embody the Greek quality of pothos.,I love heroic characters who embody the Greek quality of pothos.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
86,17,17,most_hated,Что Вы больше всего ненавидите?,Baz Luhrmann,Mediocrity and boredom.,Mediocrity and boredom.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
87,1,1,motto,Ваш девиз?,Baz Luhrmann,A life lived in fear is a life half lived.,A life lived in fear is a life half lived.,en,Vanity Fair Proust Questionnaire,,,true
88,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?",Baz Luhrmann,"Beach; the ability to spell.","Beach; the ability to spell.",en,Vanity Fair Proust Questionnaire,,,true
89,15,15,favorite_names,Любимые имена?,Baz Luhrmann,Ones that truly evoke people’s character.,Ones that truly evoke people’s character.,en,Vanity Fair Proust Questionnaire,,,true
90,21,21,greatest_misfortune,Что Вы считаете самым большим несчастьем?,Baz Luhrmann,To be unloved and lonely.,To be unloved and lonely.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true
